"regionUbigeo","provinciaUbigeo","regionNombre","provinciaNombre","pob2012","ide2012","identificacion2012","medicos2012","escolaridad2012","AguaDesague2012","electrificacion2012"
"040000","040600","AREQUIPA","Condesuyos",18540,0.645404350569945,97.9443816363498,12.9449838187702,83.2657451698365,64.6444773747793,55.272598072723
"040000","040300","AREQUIPA","Caravelí",39317,0.694553579458639,98.4928633811224,17.5496604522217,80.9079094705423,63.4413084832973,75.1852743073212
"040000","040800","AREQUIPA","La Unión",15164,0.632493295670755,96.7653171690855,19.7836982326563,71.4648404146438,61.8833546664143,53.1603051974735
"040000","040700","AREQUIPA","Islay",53047,0.817925503169226,98.5040432235557,18.6626953456369,94.2023482508724,92.6318486054062,92.5200192620506
"050000","050100","AYACUCHO","Huamanga",261382,0.759132157275863,99.4418500939064,19.1626871841476,83.5629289301922,74.3071537866873,90.3163338535664
"050000","050200","AYACUCHO","Cangallo",34298,0.570056642086299,99.5,10.6072187447775,70.7635427313565,45.1408393350713,51.9452410687593
"050000","050300","AYACUCHO","Huanca Sancos",10472,0.572256496439246,99.5,10.4056275227333,85.4506441999104,26.8577245452647,56.977166936559
"050000","050500","AYACUCHO","La Mar",87160,0.494555218179603,98.2364356262719,5.92393377076407,61.5692387132785,30.5292596192789,47.069452179699
"050000","050600","AYACUCHO","Lucanas",67167,0.619263587746979,99.1895150058861,10.0509044332089,91.0306327008604,36.7624679740711,65.8976708039906
"050000","050700","AYACUCHO","Parinacochas",32023,0.647050839801445,99.4064287671525,13.4073444986603,83.9143510434758,43.3083330360506,74.5507328896096
"050000","050400","AYACUCHO","Huanta",102619,0.597106250960483,98.3270845040352,7.82652122305789,72.0393795413196,50.3193423308052,64.8231170656518
"050000","050900","AYACUCHO","Sucre",12255,0.630690240328169,99.2636889040484,12.7053419030793,86.853523397585,38.4042438012773,69.6480942227086
"050000","051000","AYACUCHO","Víctor Fajardo",24213,0.615636912654605,99.1368532734618,8.7686357799074,77.8064351795194,46.8820685157765,69.3787063920323
"050000","051100","AYACUCHO","Vilcas Huamán",23412,0.534911121862623,99.1387327678842,7.88255919839345,72.0249540637315,45.8991726497645,37.2551027859425
"050000","050800","AYACUCHO","Paucar del Sara Sara",11028,0.715868785218682,98.6649841335776,14.4224892766659,93.9171708896439,54.0317774148569,87.2829780434861
"060000","060200","CAJAMARCA","Cajabamba",80086,0.59788451839186,95.2706078435382,6.28622526238839,66.8311336682035,63.476446969191,62.8870286110165
"060000","060300","CAJAMARCA","Celendín",95433,0.589004384985735,96.3897533152419,6.3240747554448,68.4680995704925,57.1751366517617,61.9290783629634
"060000","060400","CAJAMARCA","Chota",167670,0.585642464871644,95.8657119601526,6.95772218291341,79.1339560280031,41.0022838055175,65.2230770039599
"060000","060500","CAJAMARCA","Contumazá",32602,0.632675094894674,96.9499729977627,8.50739514725812,89.547883501679,51.3358329011474,64.324866134651
"060000","060600","CAJAMARCA","Cutervo",143667,0.5462021775513,97.1250801154525,10.0209312554854,72.5215659503194,36.2100812689219,50.5428093484805
"060000","060700","CAJAMARCA","Hualgayoc",100009,0.561428826144439,96.2240445827016,6.03747083217056,71.3687124086588,51.6709255820816,51.3882791118265
"060000","060800","CAJAMARCA","Jaén",198354,0.637175013416099,95.8130473173461,10.8122533106558,83.2315092787861,44.7477683474815,76.7747595800092
"060000","060900","CAJAMARCA","San Ignacio",145478,0.576173484897391,95.7543198166364,5.66949887924322,76.5964646360276,47.2577571925823,59.0290360047105
