ÍNDICE DE DENSIDAD DEL ESTADO 2012: DEPARTAMENTAL Y PROVINCIAL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ubigeo 2010,DEPARTAMENTO,,,,,,IDE,,IDENTIDAD,,SALUD,,EDUCACIÓN,,SANEAMIENTO,,ELECTRIFICACIÓN,
,,,,,Población 2012,,Índice de Densidad del Estado,,Población con acta nacimiento o DNI,,"Médicos por cada 10,000 habitantes",,Tasa asistencia a Secundaria (Pob. 12 a 16 años),,Viviendas con agua y desague,,Viviendas electrificadas,
,,Provincia,,,,,,,,,,,,,,,,
,,Distrito,,, habitantes ,ranking, IDE ,ranking,%,ranking,Razon,ranking,%,ranking,%,ranking,%,Ranking
,,,,,,,,,,,,,,,,,,
110400,,Palpa,,,"12,621",182,0.7750,25, 99.3064 ,26,18.1570,31,85.4934,67,91.1803,9,81.2415,59
110500,,Pisco,,,"132,986",45,0.7092,55, 99.2571 ,31,13.8738,56,84.8986,73,70.4590,53,76.8762,76
120000,JUNÍN,,,,"1,321,407",6,0.7158,12, 98.1404 ,15,12.6559,16,87.3888,8,67.3501,14,83.9282,10
120100,,Huancayo,,,"497,299",7,0.8151,14, 98.8701 ,49,20.3101,22,94.5642,13,85.4177,14,94.8395,12
120200,,Concepción,,,"58,942",102,0.6705,73, 97.8206 ,103,6.3452,149,85.5002,66,58.1659,88,83.1976,54
120300,,Chanchamayo,,,"193,140",25,0.6428,93, 97.5518 ,110,8.1031,125,80.7343,112,58.9306,84,70.7030,111
120400,,Jauja,,,"88,524",67,0.7053,56, 98.0137 ,87,10.3796,97,90.8331,37,55.8857,94,90.6086,23
120500,,Junín,,,"27,722",158,0.6267,107, 98.9176 ,47,12.5177,68,88.0828,53,23.2858,188,82.1882,57
120600,,Satipo 1/,,,"244,727",19,0.5807,145, 96.1116 ,158,5.1873,168,72.4222,153,51.8365,108,61.3319,145
120700,,Tarma,,,"111,631",53,0.7105,53, 98.8506 ,50,10.9357,86,84.8047,74,62.1884,72,91.1852,19
120800,,Yauli,,,"45,858",131,0.7727,27, 99.5000 ,5,12.4015,72,99.0315,4,75.5876,38,91.5730,18
120900,,Chupaca,,,"53,564",115,0.6888,63, 97.8224 ,102,6.7123,143,93.7842,20,58.9627,83,82.6588,56
130000,LA LIBERTAD,,,,"1,791,659",3,0.7617,8, 98.5867 ,11,22.6296,6,82.5325,18,80.7501,8,81.2442,13
130100,,Trujillo,,,"914,036",3,0.8880,4, 99.3464 ,23,32.9186,4,95.7003,9,98.0614,2,96.0229,9
130200,,Ascope,,,"120,884",49,0.7553,34, 99.5000 ,6,17.6020,33,96.5098,7,65.4569,65,86.8584,41
130300,,Bolívar,,,"16,910",176,0.5894,134, 96.7847 ,138,17.0746,37,59.0046,187,51.4671,112,58.9619,153
130400,,Chepén,,,"84,037",73,0.7570,33, 99.0960 ,39,13.0308,61,92.1739,30,84.7516,20,80.7373,61
130500,,Julcán,,,"32,400",144,0.5272,179, 97.7276 ,105,9.0297,113,60.0022,183,54.2229,97,36.6195,193
130600,,Otuzco,,,"92,237",63,0.5877,136, 97.0273 ,127,11.9985,76,59.9136,184,61.6578,75,55.2410,164
130700,,Pacasmayo,,,"101,954",59,0.7841,20, 99.3010 ,27,15.9519,44,93.8715,19,82.1331,28,90.1695,26
130800,,Pataz,,,"85,687",71,0.6038,127, 95.7538 ,167,11.8223,78,61.6108,179,58.1123,89,66.7366,125
130900,,Sánchez Carrión,,,"149,616",36,0.4838,186, 96.2120 ,154,8.2730,124,48.1215,193,39.5255,152,44.2572,182
131000,,Santiago de Chuco,,,"61,329",99,0.5667,160, 98.0769 ,85,11.9058,77,68.7819,164,45.5874,128,51.0685,172
131100,,Gran Chimú,,,"31,402",149,0.5843,139, 97.0097 ,128,10.7215,91,67.2040,167,66.2424,63,43.8284,184
131200,,Virú,,,"101,167",60,0.6949,59, 98.3704 ,73,5.9394,160,74.0766,145,84.9306,19,80.1798,63
140000,LAMBAYEQUE,,,,"1,229,260",9,0.7840,7, 98.1906 ,14,20.6835,9,83.3137,17,82.2075,6,93.8188,5
140100,,Chiclayo,,,"836,299",4,0.8317,9, 98.4564 ,69,25.7449,12,88.9529,49,86.0233,13,99.5000,2
140200,,Ferreñafe,,,"104,820",56,0.6891,62, 96.8825 ,133,14.0778,55,73.4821,148,76.3114,36,74.4212,94
140300,,Lambayeque,,,"288,141",16,0.6604,85, 97.8990 ,98,8.3964,123,72.9188,150,73.0946,47,72.3053,104
150000,LIMA,,,,"9,395,149",1,0.8879,2, 99.3486 ,5,36.4554,2,88.9415,5,96.2271,1,98.6607,2
150100,,Lima,,,"8,481,415",1,0.8999,3, 99.3591 ,22,38.3657,3,89.5797,44,97.5604,3,99.5000,3
150200,,Barranca,,,"143,216",39,0.8118,16, 99.2950 ,28,21.4062,18,83.9918,83,96.9944,4,89.9645,27
150300,,Cajatambo,,,"8,139",191,0.6624,81, 97.7730 ,104,16.2382,42,78.1014,120,51.6375,110,76.6230,79
150400,,Canta,,,"14,669",179,0.6628,80, 98.6936 ,56,29.0179,8,76.8965,129,39.9944,149,67.4349,121
150500,,Cañete,,,"222,877",21,0.7697,28, 99.5034 ,2,16.3725,39,86.2599,62,86.3501,12,85.4381,47
150600,,Huaral,,,"182,409",26,0.7770,24, 99.0524 ,40,17.7469,32,84.0086,82,85.1771,16,90.6684,22
150700,,Huarochirí,,,"79,177",77,0.7134,51, 99.0322 ,41,16.2867,40,81.9827,102,73.6597,44,74.8972,91
150800,,Huaura,,,"213,188",22,0.7884,19, 99.4633 ,15,22.0320,15,84.1302,81,85.1470,17,88.7237,28
150900,,Oyón,,,"22,217",170,0.7104,54, 99.0082 ,43,9.4051,110,77.9139,121,77.8538,33,84.7600,49
