ubiProv,ubiReg,DEPARTAMENTO,PROVINCIA,IDE,IDENTIDAD,SALUD,EDUCACION,SANEAMIENTO,ELECTRIFICACION,POBLACION,COSTA,CAPITAL
080700,080000,CUSCO,Chumbivilcas,0.5329, 97.8608 ,6.0491,76.0087,39.4397,43.0746,81878,0,0
080800,080000,CUSCO,Espinar,0.6109, 98.7317 ,8.9812,88.4132,45.8511,57.4631,68390,0,0
080900,080000,CUSCO,La Convencion,0.6069, 96.3227 ,9.2718,84.7681,40.9197,66.0037,179515,0,0
081000,080000,CUSCO,Paruro,0.5573, 97.6097 ,4.8544,74.8891,41.1514,56.9302,31521,0,0
081100,080000,CUSCO,Paucartambo,0.5599, 96.7844 ,6.1349,59.7834,46.3203,66.8591,50323,0,0
081200,080000,CUSCO,Quispicanchi,0.6180, 97.6088 ,4.9016,74.7613,52.6529,75.8022,88967,0,0
081300,080000,CUSCO,Urubamba,0.7234, 96.0675 ,11.1369,89.0927,59.2273,98.7497,63039,0,0
090100,090000,HUANCAVELICA,Huancavelica,0.6477, 98.9226 ,8.4463,83.9779,40.4136,86.4489,153773,0,1
090200,090000,HUANCAVELICA,Acobamba,0.5771, 98.7516 ,2.6282,77.5408,31.1721,76.7208,73243,0,0
090300,090000,HUANCAVELICA,Angaraes,0.5913, 98.4390 ,3.0040,76.8243,36.9268,78.4647,60816,0,0
090400,090000,HUANCAVELICA,Castrovirreyna,0.5652, 98.0852 ,4.7333,99.5000,20.8772,56.2698,19500,0,0
090500,090000,HUANCAVELICA,Churcampa,0.5615, 97.9364 ,3.7926,75.4469,25.9138,75.1098,45172,0,0
090600,090000,HUANCAVELICA,Huaytara,0.5709, 97.4424 ,6.9062,93.0713,24.0430,59.3830,23361,0,0
090700,090000,HUANCAVELICA,Tayacaja,0.5827, 97.2705 ,4.6864,77.7900,28.8652,79.6273,107715,0,0
100100,100000,HUANUCO,Huanuco,0.7179, 97.4669 ,21.9022,84.4585,65.5353,74.9612,301396,0,1
100200,100000,HUANUCO,Ambo,0.5594, 97.9204 ,11.1829,74.8834,25.5836,62.6859,57957,0,0
100300,100000,HUANUCO,Dos de Mayo,0.5822, 96.8027 ,13.0303,74.0063,49.4522,49.1357,52025,0,0
100400,100000,HUANUCO,Huacaybamba,0.5826, 96.5215 ,6.5479,66.9303,53.1725,63.7385,22403,0,0
100500,100000,HUANUCO,Huamalies,0.5598, 94.9934 ,11.3609,75.2894,41.5260,49.1445,73621,0,0
100600,100000,HUANUCO,Leoncio Prado,0.6803, 95.4785 ,18.5407,91.4246,51.5353,70.8055,129953,0,0
100700,100000,HUANUCO,Mara¤on,0.4770, 96.8355 ,6.7634,64.0645,23.8282,42.5136,30594,0,0
100800,100000,HUANUCO,Pachitea,0.4821, 94.7089 ,8.9220,52.4708,35.9075,43.0686,69003,0,0
100900,100000,HUANUCO,Puerto Inca,0.4807, 90.0761 ,13.7197,68.0194,25.5408,33.8304,32060,0,0
101000,100000,HUANUCO,Lauricocha,0.5554, 96.3078 ,11.2596,82.0013,36.3976,44.2322,38257,0,0
101100,100000,HUANUCO,Yarowilca,0.5294, 98.2606 ,9.5985,76.9046,31.8684,41.6769,33715,0,0
110100,110000,ICA,Ica,0.8450, 99.5035 ,30.0232,87.7433,94.2660,90.9563,349036,1,1
110200,110000,ICA,Chincha,0.7622, 99.4989 ,16.2647,84.4472,83.1503,86.8764,210098,1,0
110300,110000,ICA,Nazca,0.7812, 99.3843 ,18.7779,87.5390,84.1663,88.2205,58817,1,0
110400,110000,ICA,Palpa,0.7750, 99.3064 ,18.1570,85.4934,91.1803,81.2415,12621,0,0
110500,110000,ICA,Pisco,0.7092, 99.2571 ,13.8738,84.8986,70.4590,76.8762,132986,1,0
120100,120000,JUNIN,Huancayo,0.8151, 98.8701 ,20.3101,94.5642,85.4177,94.8395,497299,0,1
