ubiProv,ubiReg,DEPARTAMENTO,PROVINCIA,IDE,IDENTIDAD,SALUD,EDUCACIàN,SANEAMIENTO,ELECTRIFICACIàN
060100,060000,CAJAMARCA,Cajamarca,0.7481, 98.0678 ,15.7259,86.1347,76.1244,87.5310
060200,060000,CAJAMARCA,Cajabamba,0.5979, 95.2706 ,6.2862,66.8311,63.4764,62.8870
060300,060000,CAJAMARCA,Celend¡n,0.5890, 96.3898 ,6.3241,68.4681,57.1751,61.9291
060400,060000,CAJAMARCA,Chota,0.5856, 95.8657 ,6.9577,79.1340,41.0023,65.2231
060500,060000,CAJAMARCA,Contumaz ,0.6327, 96.9500 ,8.5074,89.5479,51.3358,64.3249
060600,060000,CAJAMARCA,Cutervo,0.5462, 97.1251 ,10.0209,72.5216,36.2101,50.5428
060700,060000,CAJAMARCA,Hualgayoc,0.5614, 96.2240 ,6.0375,71.3687,51.6709,51.3883
060800,060000,CAJAMARCA,Ja‚n,0.6372, 95.8130 ,10.8123,83.2315,44.7478,76.7748
060900,060000,CAJAMARCA,San Ignacio,0.5762, 95.7543 ,5.6695,76.5965,47.2578,59.0290
061000,060000,CAJAMARCA,San Marcos,0.5805, 95.5956 ,4.4653,69.8850,66.3363,50.9721
061100,060000,CAJAMARCA,San Miguel,0.5787, 96.5258 ,6.9082,85.7770,48.1129,47.3965
061200,060000,CAJAMARCA,San Pablo,0.5587, 96.9911 ,3.7146,75.1291,55.0860,45.9765
061300,060000,CAJAMARCA,Santa Cruz,0.5349, 96.0784 ,6.7198,87.9763,13.7900,58.3943
070100,070000,#N/A,Callao,0.8514, 99.4939 ,26.4218,89.8493,93.0432,99.2529
080100,080000,CUSCO,Cusco,0.8762, 97.8854 ,30.5147,99.5000,90.3696,99.5000
080200,080000,CUSCO,Acomayo,0.6331, 97.1990 ,10.4537,83.1267,48.2393,70.5703
080300,080000,CUSCO,Anta,0.6379, 97.9755 ,4.6273,82.8919,43.5397,86.8348
080400,080000,CUSCO,Calca,0.6321, 96.9540 ,6.3367,77.7240,52.6436,78.1668
080500,080000,CUSCO,Canas,0.5680, 98.3403 ,5.3289,84.5397,34.0964,58.1530
080600,080000,CUSCO,Canchis,0.7344, 97.8380 ,10.8021,92.7148,70.1059,88.5203
080700,080000,CUSCO,Chumbivilcas,0.5329, 97.8608 ,6.0491,76.0087,39.4397,43.0746
080800,080000,CUSCO,Espinar,0.6109, 98.7317 ,8.9812,88.4132,45.8511,57.4631
080900,080000,CUSCO,La Convenci¢n,0.6069, 96.3227 ,9.2718,84.7681,40.9197,66.0037
081000,080000,CUSCO,Paruro,0.5573, 97.6097 ,4.8544,74.8891,41.1514,56.9302
081100,080000,CUSCO,Paucartambo,0.5599, 96.7844 ,6.1349,59.7834,46.3203,66.8591
081200,080000,CUSCO,Quispicanchi,0.6180, 97.6088 ,4.9016,74.7613,52.6529,75.8022
081300,080000,CUSCO,Urubamba,0.7234, 96.0675 ,11.1369,89.0927,59.2273,98.7497
090100,090000,HUANCAVELICA,Huancavelica,0.6477, 98.9226 ,8.4463,83.9779,40.4136,86.4489
090200,090000,HUANCAVELICA,Acobamba,0.5771, 98.7516 ,2.6282,77.5408,31.1721,76.7208
090300,090000,HUANCAVELICA,Angaraes,0.5913, 98.4390 ,3.0040,76.8243,36.9268,78.4647
